NER: Central Delta Water Agency	Frequency: 1
NER: Natural Resources Defense Council	Frequency: 2
NER: Lone Star Chapter	Frequency: 2
NER: Cedar Point Oil Co. Inc.	Frequency: 1
NER: distincti	Frequency: 1
NER: City of Davis v. Coleman	Frequency: 1
NER: investigat	Frequency: 1
NER: Societe de Conditionnement en Aluminium v. Hunter Engineering Co., Inc.	Frequency: 1
NER: enti	Frequency: 1
NER: the particip ation	Frequency: 1
NER: NRDC	Frequency: 5
NER: Congressional	Frequency: 2
NER: Watson	Frequency: 1
NER: the D.C. Circuit	Frequency: 1
NER: st andards	Frequency: 1
NER: Defenders of Wildlife	Frequency: 5
NER: Citizens for Better Forestry v.	Frequency: 1
NER: Cantrell v. City of Long Beac h	Frequency: 1
NER: Citizens for Better Forestry	Frequency: 2
NER: preconstr uction	Frequency: 1
NER: satisfie	Frequency: 1
NER: Salmon River Concerned Citizens	Frequency: 2
NER: Robertson	Frequency: 2
NER: fr om	Frequency: 3
NER: Douglas Cty	Frequency: 1
NER: Babbitt	Frequency: 3
NER: FEC	Frequency: 2
NER: the Endangered Species Act	Frequency: 4
NER: ult	Frequency: 1
NER: the U.S. Fish and Wildlife Service	Frequency: 2
NER: ag encies	Frequency: 1
NER: Ho wever	Frequency: 1
NER: Interior	Frequency: 3
NER: the Fish and Wildlife Service	Frequency: 1
NER: American	Frequency: 8
NER: concer	Frequency: 1
NER: John Donne	Frequency: 1
NER: Meditation XVII:	Frequency: 1
NER: No Man Is an Island	Frequency: 1
NER: Defe	Frequency: 3
NER: operat es	Frequency: 1
NER: Pl aintiffs' Complaint	Frequency: 1
NER: Gould	Frequency: 1
NER: illu strates	Frequency: 1
NER: Yellowstone National Park	Frequency: 1
NER: HN14	Frequency: 1
NER: abst	Frequency: 1
NER: Akins	Frequency: 3
NER: Schlesinger	Frequency: 2
NER: Reservists Committee	Frequency: 2
NER: Constitution	Frequency: 2
NER: the armed forces reserve	Frequency: 1
NER: the Ex ecutive Branch	Frequency: 1
NER: O'Shea	Frequency: 1
NER: Littleton	Frequency: 1
NER: Mo reover	Frequency: 1
